time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
2.724985,0.001420,-0.000139,-0.000673
2.729985,0.001463,-0.000096,-0.000689
2.734984,0.001543,-0.000034,-0.000712
2.739984,0.001605,0.000021,-0.000742
2.744983,0.001710,0.000108,-0.000785
2.749983,0.001786,0.000162,-0.000829
2.754983,0.001908,0.000214,-0.000874
2.759982,0.001994,0.000234,-0.000892
2.764982,0.002129,0.000264,-0.000929
2.769982,0.002221,0.000286,-0.000938
2.774981,0.002361,0.000313,-0.000931
2.779981,0.002453,0.000343,-0.000923
2.784981,0.002592,0.000375,-0.000950
2.789980,0.002685,0.000394,-0.000972
2.794980,0.002824,0.000407,-0.001024
2.799979,0.002916,0.000397,-0.001056
2.804979,0.003053,0.000381,-0.001091
2.809979,0.003142,0.000383,-0.001117
2.814978,0.003274,0.000395,-0.001138
2.819978,0.003359,0.000419,-0.001136
2.824978,0.003485,0.000443,-0.001133
2.829977,0.003567,0.000449,-0.001127
2.834977,0.003685,0.000452,-0.001137
2.839977,0.003763,0.000444,-0.001148
2.844976,0.003878,0.000452,-0.001141
2.849976,0.003953,0.000469,-0.001138
2.854975,0.004062,0.000500,-0.001135
2.859975,0.004133,0.000516,-0.001144
2.864975,0.004235,0.000534,-0.001161
2.869974,0.004301,0.000541,-0.001173
2.874974,0.004398,0.000529,-0.001199
2.879974,0.004462,0.000528,-0.001192
2.884973,0.004555,0.000513,-0.001137
2.889973,0.004617,0.000509,-0.001084
2.894973,0.004706,0.000540,-0.001002
2.899972,0.004765,0.000563,-0.000972
2.904972,0.004854,0.000612,-0.000934
2.909971,0.004912,0.000651,-0.000920
2.914971,0.004999,0.000694,-0.000900
2.919971,0.005055,0.000716,-0.000885
2.924970,0.005138,0.000721,-0.000897
2.929970,0.005193,0.000747,-0.000921
2.934970,0.005276,0.000755,-0.000950
2.939969,0.005330,0.000731,-0.000984
2.944969,0.005410,0.000699,-0.001042
2.949969,0.005463,0.000683,-0.001076
2.954968,0.005541,0.000671,-0.001096
2.959968,0.005592,0.000669,-0.001080
2.964967,0.005666,0.000666,-0.001046
2.969967,0.005714,0.000678,-0.001023
2.974967,0.005785,0.000737,-0.000981
2.979966,0.005830,0.000784,-0.000930
2.984966,0.005898,0.000837,-0.000839
2.989966,0.005941,0.000866,-0.000783
2.994965,0.006008,0.000902,-0.000713
2.999965,0.006052,0.000911,-0.000685
3.004965,0.006118,0.000905,-0.000656
3.009964,0.006163,0.000903,-0.000647
3.014964,0.006235,0.000883,-0.000639
3.019964,0.006287,0.000866,-0.000619
3.024963,0.006371,0.000831,-0.000601
3.029963,0.006431,0.000830,-0.000585
3.034962,0.006529,0.000818,-0.000554
3.039962,0.006597,0.000816,-0.000545
3.044962,0.006704,0.000831,-0.000523
3.049961,0.006779,0.000839,-0.000514
3.054961,0.006893,0.000814,-0.000480
3.059961,0.006971,0.000792,-0.000450
3.064960,0.007090,0.000767,-0.000408
3.069960,0.007170,0.000760,-0.000390
3.074960,0.007291,0.000752,-0.000391
3.079959,0.007371,0.000749,-0.000391
3.084959,0.007490,0.000746,-0.000378
3.089958,0.007569,0.000772,-0.000382
3.094958,0.007686,0.000803,-0.000395
3.099958,0.007763,0.000800,-0.000409
3.104957,0.007878,0.000769,-0.000419
3.109957,0.007954,0.000751,-0.000428
3.114957,0.008066,0.000717,-0.000443
3.119956,0.008138,0.000691,-0.000433
3.124956,0.008242,0.000670,-0.000391
3.129956,0.008310,0.000656,-0.000357
3.134955,0.008409,0.000668,-0.000267
3.139955,0.008473,0.000695,-0.000208
3.144954,0.008568,0.000720,-0.000125
3.149954,0.008630,0.000730,-0.000086
